ID,Sentence
1,"Hi, I'm looking for a family SUV. Do you have any recommendations?"
2,What's the fuel efficiency of this model?
3,Can I test drive this car today?
4,Do you offer financing options?
5,What's the difference between the 2022 and 2023 models?
6,I love the color of this car! Is it available in blue?
7,How much is the down payment for this vehicle?
8,Do you have any hybrid or electric cars in stock?
9,What's the warranty on this car?
10,Can you tell me more about the safety features?
11,"I’m just browsing, but thanks for asking!"
12,Do you offer trade-in options for my old car?
13,What’s the best car for a first-time driver?
14,How long does it take to get a car delivered if I order it?
15,Do you have any discounts or promotions right now?
16,What’s the mileage on this used car?
17,Can I see the service history for this vehicle?
18,Do you offer extended warranties?
19,What’s the towing capacity of this truck?
20,I’m not sure what I’m looking for. Can you help me?
21,Is this car good for long road trips?
22,Do you have any cars with leather seats?
23,What’s the interest rate on your financing plans?
24,Can I customize the interior of this car?
25,Do you have any cars with third-row seating?
26,What’s the difference between all-wheel drive and front-wheel drive?
27,How often does this car need maintenance?
28,Do you offer roadside assistance with purchase?
29,What’s the best car for snowy weather?
30,I’m just here to kill time. Do you mind if I look around?
31,Can I get a car with a sunroof?
32,What’s the horsepower of this model?
33,Do you have any cars with advanced tech features?
34,How reliable is this brand?
35,Can I get a discount if I pay in cash?
36,What’s the resale value of this car?
37,Do you have any convertibles in stock?
38,What’s the best car for a small budget?
39,Can I bring my mechanic to inspect the car?
40,Do you offer lease options?
41,What’s the difference between the base model and the premium model?
42,Can I get a car with heated seats?
43,Do you have any cars with good cargo space?
44,What’s the best car for off-roading?
45,Do you have any cars with a backup camera?
46,Can I get a car with a manual transmission?
47,What’s the best car for a tall person?
48,Do you have any cars with a panoramic roof?
49,What’s the best car for city driving?
50,Do you have any cars with a sporty look?
51,Can I get a car with a premium sound system?
52,What’s the best car for a large family?
53,Do you have any cars with a heads-up display?
54,What’s the best car for a teenager?
55,Do you have any cars with a quiet cabin?
56,Can I get a car with adaptive cruise control?
57,What’s the best car for a dog owner?
58,Do you have any cars with a rear entertainment system?
59,What’s the best car for a long commute?
60,Do you have any cars with a high ground clearance?
61,Can I get a car with a wireless charging pad?
62,What’s the best car for a frequent traveler?
63,Do you have any cars with a built-in navigation system?
64,What’s the best car for a small garage?
65,Do you have any cars with a low maintenance cost?
66,Can I get a car with a turbocharged engine?
67,What’s the best car for a car enthusiast?
68,Do you have any cars with a quiet engine?
69,What’s the best car for a photographer?
70,Do you have any cars with a lot of legroom?
71,Can I get a car with a rearview mirror camera?
72,What’s the best car for a musician?
73,Do you have any cars with a premium interior?
74,What’s the best car for a frequent camper?
75,Do you have any cars with a lot of storage compartments?
76,Can I get a car with a hybrid engine?
77,What’s the best car for a frequent road tripper?
78,Do you have any cars with a high safety rating?
79,What’s the best car for a pet owner?
80,Do you have any cars with a lot of tech features?
81,Can I get a car with a diesel engine?
82,What’s the best car for a small business owner?
83,Do you have any cars with a lot of horsepower?
84,What’s the best car for a frequent commuter?
85,Do you have any cars with a lot of torque?
86,Can I get a car with a lot of customization options?
87,What’s the best car for a frequent traveler?
88,Do you have any cars with a lot of cargo space?
89,What’s the best car for a frequent off-roader?
90,Do you have any cars with a lot of towing capacity?
91,Can I get a car with a lot of safety features?
92,What’s the best car for a frequent city driver?
93,Do you have any cars with a lot of legroom?
94,What’s the best car for a frequent highway driver?
95,Do you have any cars with a lot of tech features?
96,Can I get a car with a lot of storage space?
97,What’s the best car for a frequent camper?
98,Do you have any cars with a lot of horsepower?
99,What’s the best car for a frequent road tripper?
100,Do you have any cars with a lot of safety features?
